loudness,sub_bass,bass,low_mid,mid,high_mid,presence,brilliance,pulse
0.0004971778,0.0005990805,0.00021516845,0.00022073886,0.00027229538,0.00026077032,0.00011471218,0.00019793479,0.0
0.0053319237,0.00073828467,0.00042748332,0.0017782613,0.0046097147,0.0027411333,0.00058717444,0.0006025654,0.0
0.32264295,0.007936172,0.09554404,0.17878473,0.26548716,0.39386284,0.15259857,0.024096487,1.0
0.60018164,0.17875887,0.35579857,0.17878473,0.37198558,0.48518628,0.29374522,0.17344937,0.0
0.60018164,0.22340973,0.35579857,0.2173204,0.37198558,0.5017946,0.29764932,0.22913656,0.0
0.60018164,0.17875887,0.35579857,0.2173204,0.2822834,0.48518628,0.29764932,0.23480137,0.0
0.5517701,0.16992843,0.32173932,0.4329776,0.20376228,0.2877475,0.25248456,0.22990812,0.0
0.51079315,0.09359275,0.25849435,0.4329776,0.070347495,0.1799024,0.16037683,0.23480137,0.0
0.37142825,0.08591483,0.23648544,0.32055396,0.070347495,0.1799024,0.16037683,0.22990812,0.0
0.37142825,0.08591483,0.23648544,0.32055396,0.2726993,0.4152702,0.19882356,0.20764478,1.0
0.6098217,0.21068543,0.43728432,0.19652992,0.32375422,0.4751781,0.3058267,0.19713227,0.0
0.6098217,0.22592129,0.43728432,0.3878055,0.32375422,0.4751781,0.3058267,0.19713227,0.0
0.5798184,0.21976282,0.40744,0.33532032,0.29807156,0.40533617,0.21999444,0.17282154,0.0
0.53519726,0.22592129,0.28629792,0.3878055,0.2578858,0.37273702,0.1708204,0.17282154,0.0
0.45035842,0.21976282,0.28629792,0.36767676,0.1288735,0.22141963,0.15441236,0.17626497,0.0
0.4299133,0.18818717,0.3045624,0.36767676,0.1288735,0.22141963,0.13812284,0.17626497,0.0
0.4299133,0.18818717,0.32703394,0.36767676,0.13721348,0.2490329,0.13812284,0.17626497,0.0
0.5272925,0.110464044,0.41594854,0.2645877,0.31786028,0.40494767,0.25048497,0.18184106,1.0
0.5272925,0.12322707,0.41594854,0.33594626,0.31786028,0.40494767,0.2569573,0.19384949,0.0
0.509132,0.12322707,0.38859648,0.26646218,0.29672623,0.37828276,0.25048497,0.19384949,0.0
0.44712833,0.14056885,0.38453397,0.33594626,0.20346963,0.35777995,0.1868067,0.18447123,0.0
0.44712833,0.14056885,0.38453397,0.31840855,0.1738385,0.2750858,0.18380809,0.1774082,0.0
0.32487428,0.114507616,0.13196665,0.31840855,0.1738385,0.2750858,0.18380809,0.16434832,0.0
0.32487428,0.114507616,0.13196665,0.31840855,0.24894762,0.34302768,0.19569874,0.16434832,0.0
0.56416696,0.2687536,0.4128872,0.19747221,0.2614189,0.44278717,0.2564594,0.21311757,1.0
0.56416696,0.2687536,0.4128872,0.19747221,0.2615855,0.44278717,0.2564594,0.21311757,0.0
0.47878972,0.2358546,0.24672359,0.19747221,0.2614189,0.41558918,0.25585282,0.21018751,0.0
0.4336732,0.19202632,0.24408448,0.16718225,0.25326756,0.3896365,0.23808518,0.21018751,0.0
0.4336732,0.18185964,0.24672359,0.2187907,0.23872143,0.37020683,0.23366667,0.21018751,0.0
